sku,product_name,voltage,insulation,core_count,cross_section_mm2,armor,standard,conductor_material,base_price
CAB_0001,1-core 2.5mm² EPR Insulated Aluminum Armored Cable (Aluminum),3.3kV,EPR,1,2.5,Aluminum,IEEE 1202,Aluminum,106.95
CAB_0002,3-core 1.5mm² PVC Insulated Steel Armored Cable (Copper),3.3kV,PVC,3,1.5,Steel,IEEE 1202,Copper,28.56
CAB_0003,4-core 6.0mm² XLPE Insulated Aluminum Armored Cable (Copper),3.3kV,XLPE,4,6.0,Aluminum,IEEE 1202,Copper,308.6
CAB_0004,5-core 6.0mm² PVC Insulated Copper Armored Cable (Copper),1.1/2kV,PVC,5,6.0,Copper,BS 5467,Copper,211.63
CAB_0005,1-core 6.0mm² XLPE Insulated Steel Armored Cable (Aluminum),0.6/0.9kV,XLPE,1,6.0,Steel,BS 5467,Aluminum,89.08
CAB_0006,5-core 16.0mm² XLPE Insulated None Armored Cable (Copper),0.6/0.9kV,XLPE,5,16.0,None,BS 5467,Copper,397.2
CAB_0007,5-core 2.5mm² XLPE Insulated Steel Armored Cable (Aluminum),0.6/0.9kV,XLPE,5,2.5,Steel,IS 7098,Aluminum,74.91
CAB_0008,2-core 10.0mm² EPR Insulated Aluminum Armored Cable (Aluminum),0.6/0.9kV,EPR,2,10.0,Aluminum,IS 1554,Aluminum,234.98
CAB_0009,1-core 6.0mm² EPR Insulated Aluminum Armored Cable (Copper),3.3kV,EPR,1,6.0,Aluminum,IEC 60502,Copper,272.65
CAB_0010,5-core 1.5mm² PVC Insulated None Armored Cable (Aluminum),1.1/2kV,PVC,5,1.5,None,IEEE 1202,Aluminum,37.13
CAB_0011,5-core 0.5mm² XLPE Insulated Aluminum Armored Cable (Aluminum),1.1/2kV,XLPE,5,0.5,Aluminum,IS 7098,Aluminum,3.36
CAB_0012,3-core 4.0mm² EPR Insulated Steel Armored Cable (Aluminum),6.6kV,EPR,3,4.0,Steel,IEC 60502,Aluminum,149.9
CAB_0013,3-core 1.0mm² EPR Insulated Copper Armored Cable (Copper),1.1/2kV,EPR,3,1.0,Copper,IS 1554,Copper,7.36
CAB_0014,1-core 10.0mm² EPR Insulated Steel Armored Cable (Copper),1.1/2kV,EPR,1,10.0,Steel,IEEE 1202,Copper,706.05
CAB_0015,3-core 1.5mm² EPR Insulated Steel Armored Cable (Copper),0.6/0.9kV,EPR,3,1.5,Steel,IEC 60502,Copper,47.14
CAB_0016,4-core 4.0mm² PVC Insulated Copper Armored Cable (Copper),6.6kV,PVC,4,4.0,Copper,BS 5467,Copper,210.47
CAB_0017,2-core 16.0mm² EPR Insulated None Armored Cable (Aluminum),1.1/2kV,EPR,2,16.0,None,IS 1554,Aluminum,389.68
CAB_0018,3-core 10.0mm² EPR Insulated Steel Armored Cable (Copper),0.6/0.9kV,EPR,3,10.0,Steel,IEC 60502,Copper,166.17
CAB_0019,2-core 4.0mm² PVC Insulated Copper Armored Cable (Aluminum),1.1/2kV,PVC,2,4.0,Copper,IS 7098,Aluminum,20.62
CAB_0020,1-core 10.0mm² PVC Insulated Aluminum Armored Cable (Aluminum),0.6/0.9kV,PVC,1,10.0,Aluminum,IEEE 1202,Aluminum,327.34
CAB_0021,3-core 0.5mm² EPR Insulated None Armored Cable (Aluminum),0.6/1kV,EPR,3,0.5,None,IEEE 1202,Aluminum,23.79
CAB_0022,5-core 10.0mm² XLPE Insulated Steel Armored Cable (Aluminum),0.6/1kV,XLPE,5,10.0,Steel,IS 7098,Aluminum,64.15
CAB_0023,1-core 2.5mm² XLPE Insulated None Armored Cable (Copper),6.6kV,XLPE,1,2.5,None,IS 7098,Copper,79.86
CAB_0024,2-core 1.0mm² PVC Insulated None Armored Cable (Aluminum),6.6kV,PVC,2,1.0,None,BS 5467,Aluminum,5.13
CAB_0025,4-core 6.0mm² XLPE Insulated Copper Armored Cable (Copper),1.1/2kV,XLPE,4,6.0,Copper,IEC 60502,Copper,259.87
CAB_0026,7-core 4.0mm² XLPE Insulated Copper Armored Cable (Copper),6.6kV,XLPE,7,4.0,Copper,BS 5467,Copper,123.72
CAB_0027,7-core 1.5mm² EPR Insulated Copper Armored Cable (Aluminum),0.6/1kV,EPR,7,1.5,Copper,IEC 60502,Aluminum,17.18
CAB_0028,5-core 2.5mm² XLPE Insulated Aluminum Armored Cable (Copper),6.6kV,XLPE,5,2.5,Aluminum,IS 7098,Copper,102.16
CAB_0029,7-core 1.5mm² PVC Insulated Aluminum Armored Cable (Copper),6.6kV,PVC,7,1.5,Aluminum,IS 1554,Copper,111.14
CAB_0030,3-core 1.0mm² XLPE Insulated Steel Armored Cable (Aluminum),0.6/1kV,XLPE,3,1.0,Steel,IEEE 1202,Aluminum,8.69
CAB_0031,3-core 16.0mm² XLPE Insulated Copper Armored Cable (Copper),3.3kV,XLPE,3,16.0,Copper,IEC 60502,Copper,739.85
CAB_0032,4-core 10.0mm² XLPE Insulated Steel Armored Cable (Copper),6.6kV,XLPE,4,10.0,Steel,IS 1554,Copper,280.78
CAB_0033,2-core 6.0mm² XLPE Insulated Copper Armored Cable (Copper),0.6/0.9kV,XLPE,2,6.0,Copper,IEEE 1202,Copper,40.64
CAB_0034,4-core 1.0mm² PVC Insulated Steel Armored Cable (Copper),0.6/0.9kV,PVC,4,1.0,Steel,IEEE 1202,Copper,11.2
CAB_0035,7-core 4.0mm² PVC Insulated Copper Armored Cable (Aluminum),1.1/2kV,PVC,7,4.0,Copper,IEC 60502,Aluminum,175.88
CAB_0036,2-core 4.0mm² PVC Insulated None Armored Cable (Aluminum),0.6/1kV,PVC,2,4.0,None,IS 1554,Aluminum,161.04
CAB_0037,1-core 6.0mm² PVC Insulated Steel Armored Cable (Aluminum),1.1/2kV,PVC,1,6.0,Steel,IS 1554,Aluminum,244.63
CAB_0038,7-core 1.0mm² XLPE Insulated None Armored Cable (Aluminum),6.6kV,XLPE,7,1.0,None,IS 1554,Aluminum,8.28
CAB_0039,1-core 1.5mm² EPR Insulated Aluminum Armored Cable (Aluminum),6.6kV,EPR,1,1.5,Aluminum,IEC 60502,Aluminum,17.04
CAB_0040,4-core 10.0mm² PVC Insulated Aluminum Armored Cable (Aluminum),0.6/0.9kV,PVC,4,10.0,Aluminum,IS 7098,Aluminum,40.95
CAB_0041,3-core 16.0mm² PVC Insulated None Armored Cable (Aluminum),6.6kV,PVC,3,16.0,None,BS 5467,Aluminum,682.5
CAB_0042,5-core 2.5mm² XLPE Insulated Aluminum Armored Cable (Aluminum),0.6/1kV,XLPE,5,2.5,Aluminum,IEC 60502,Aluminum,21.64
CAB_0043,5-core 2.5mm² XLPE Insulated Copper Armored Cable (Copper),3.3kV,XLPE,5,2.5,Copper,IS 1554,Copper,162.06
CAB_0044,7-core 10.0mm² EPR Insulated Steel Armored Cable (Copper),0.6/1kV,EPR,7,10.0,Steel,BS 5467,Copper,580.47
CAB_0045,2-core 16.0mm² EPR Insulated Steel Armored Cable (Aluminum),1.1/2kV,EPR,2,16.0,Steel,IEEE 1202,Aluminum,76.78
CAB_0046,3-core 1.5mm² PVC Insulated Copper Armored Cable (Aluminum),1.1/2kV,PVC,3,1.5,Copper,IEC 60502,Aluminum,51.53
CAB_0047,7-core 1.5mm² XLPE Insulated Aluminum Armored Cable (Copper),0.6/1kV,XLPE,7,1.5,Aluminum,IEEE 1202,Copper,30.26
CAB_0048,1-core 1.5mm² EPR Insulated Aluminum Armored Cable (Aluminum),6.6kV,EPR,1,1.5,Aluminum,IEC 60502,Aluminum,57.86
CAB_0049,1-core 10.0mm² XLPE Insulated Copper Armored Cable (Copper),1.1/2kV,XLPE,1,10.0,Copper,IS 1554,Copper,146.58
CAB_0050,5-core 2.5mm² PVC Insulated Aluminum Armored Cable (Copper),3.3kV,PVC,5,2.5,Aluminum,IEC 60502,Copper,153.02
CAB_0051,1-core 10.0mm² EPR Insulated Copper Armored Cable (Aluminum),0.6/0.9kV,EPR,1,10.0,Copper,BS 5467,Aluminum,70.94
CAB_0052,3-core 0.5mm² XLPE Insulated Aluminum Armored Cable (Copper),0.6/0.9kV,XLPE,3,0.5,Aluminum,IS 7098,Copper,15.67
CAB_0053,5-core 0.5mm² PVC Insulated Steel Armored Cable (Copper),3.3kV,PVC,5,0.5,Steel,IEC 60502,Copper,33.7
CAB_0054,7-core 1.0mm² XLPE Insulated Steel Armored Cable (Copper),0.6/1kV,XLPE,7,1.0,Steel,IS 7098,Copper,11.9
CAB_0055,1-core 4.0mm² XLPE Insulated Steel Armored Cable (Aluminum),0.6/0.9kV,XLPE,1,4.0,Steel,IS 1554,Aluminum,167.91
CAB_0056,5-core 4.0mm² EPR Insulated Steel Armored Cable (Aluminum),0.6/1kV,EPR,5,4.0,Steel,IEEE 1202,Aluminum,191.0
CAB_0057,4-core 0.5mm² XLPE Insulated Aluminum Armored Cable (Copper),0.6/1kV,XLPE,4,0.5,Aluminum,BS 5467,Copper,18.42
CAB_0058,3-core 10.0mm² XLPE Insulated Copper Armored Cable (Aluminum),0.6/0.9kV,XLPE,3,10.0,Copper,IS 7098,Aluminum,462.53
CAB_0059,7-core 16.0mm² PVC Insulated Steel Armored Cable (Aluminum),1.1/2kV,PVC,7,16.0,Steel,IS 7098,Aluminum,262.99
CAB_0060,1-core 10.0mm² XLPE Insulated Copper Armored Cable (Aluminum),0.6/1kV,XLPE,1,10.0,Copper,IS 1554,Aluminum,241.71
CAB_0061,4-core 1.5mm² EPR Insulated Steel Armored Cable (Copper),0.6/0.9kV,EPR,4,1.5,Steel,IS 1554,Copper,20.13
CAB_0062,7-core 0.5mm² XLPE Insulated Steel Armored Cable (Aluminum),3.3kV,XLPE,7,0.5,Steel,IEC 60502,Aluminum,10.48
CAB_0063,1-core 0.5mm² XLPE Insulated Copper Armored Cable (Copper),6.6kV,XLPE,1,0.5,Copper,IS 1554,Copper,30.39
CAB_0064,1-core 1.5mm² XLPE Insulated None Armored Cable (Aluminum),6.6kV,XLPE,1,1.5,None,IEC 60502,Aluminum,42.18
CAB_0065,1-core 2.5mm² XLPE Insulated Copper Armored Cable (Copper),1.1/2kV,XLPE,1,2.5,Copper,IS 1554,Copper,96.9
CAB_0066,5-core 1.5mm² PVC Insulated Copper Armored Cable (Copper),1.1/2kV,PVC,5,1.5,Copper,BS 5467,Copper,33.2
CAB_0067,4-core 1.5mm² EPR Insulated Aluminum Armored Cable (Aluminum),1.1/2kV,EPR,4,1.5,Aluminum,IEC 60502,Aluminum,49.68
CAB_0068,3-core 6.0mm² XLPE Insulated Copper Armored Cable (Aluminum),0.6/0.9kV,XLPE,3,6.0,Copper,IS 1554,Aluminum,156.67
CAB_0069,4-core 6.0mm² XLPE Insulated None Armored Cable (Copper),3.3kV,XLPE,4,6.0,None,IEC 60502,Copper,367.89
CAB_0070,1-core 1.0mm² XLPE Insulated Copper Armored Cable (Copper),3.3kV,XLPE,1,1.0,Copper,IS 7098,Copper,51.43
CAB_0071,3-core 16.0mm² XLPE Insulated None Armored Cable (Aluminum),0.6/0.9kV,XLPE,3,16.0,None,BS 5467,Aluminum,197.71
CAB_0072,3-core 4.0mm² EPR Insulated None Armored Cable (Copper),6.6kV,EPR,3,4.0,None,IS 7098,Copper,190.34
CAB_0073,4-core 1.5mm² EPR Insulated None Armored Cable (Aluminum),0.6/1kV,EPR,4,1.5,None,IS 7098,Aluminum,60.09
CAB_0074,7-core 2.5mm² XLPE Insulated None Armored Cable (Copper),0.6/1kV,XLPE,7,2.5,None,IS 1554,Copper,88.29
CAB_0075,3-core 1.5mm² PVC Insulated Aluminum Armored Cable (Copper),0.6/1kV,PVC,3,1.5,Aluminum,IEEE 1202,Copper,31.64
CAB_0076,5-core 2.5mm² XLPE Insulated Aluminum Armored Cable (Aluminum),3.3kV,XLPE,5,2.5,Aluminum,IS 1554,Aluminum,26.36
CAB_0077,3-core 2.5mm² XLPE Insulated Aluminum Armored Cable (Copper),0.6/1kV,XLPE,3,2.5,Aluminum,IS 7098,Copper,79.27
CAB_0078,3-core 4.0mm² PVC Insulated None Armored Cable (Aluminum),1.1/2kV,PVC,3,4.0,None,IS 7098,Aluminum,188.71
CAB_0079,2-core 1.0mm² PVC Insulated Steel Armored Cable (Aluminum),0.6/0.9kV,PVC,2,1.0,Steel,IS 1554,Aluminum,34.51
CAB_0080,5-core 2.5mm² XLPE Insulated None Armored Cable (Aluminum),0.6/0.9kV,XLPE,5,2.5,None,IS 1554,Aluminum,63.9
CAB_0081,3-core 1.5mm² XLPE Insulated Steel Armored Cable (Copper),6.6kV,XLPE,3,1.5,Steel,IEC 60502,Copper,64.88
CAB_0082,1-core 0.5mm² PVC Insulated None Armored Cable (Aluminum),6.6kV,PVC,1,0.5,None,IS 7098,Aluminum,12.85
CAB_0083,7-core 2.5mm² XLPE Insulated Copper Armored Cable (Copper),6.6kV,XLPE,7,2.5,Copper,IS 1554,Copper,144.38
CAB_0084,4-core 2.5mm² PVC Insulated Steel Armored Cable (Copper),0.6/0.9kV,PVC,4,2.5,Steel,IEEE 1202,Copper,67.77
CAB_0085,5-core 10.0mm² PVC Insulated None Armored Cable (Aluminum),3.3kV,PVC,5,10.0,None,IEEE 1202,Aluminum,117.18
CAB_0086,5-core 6.0mm² XLPE Insulated None Armored Cable (Aluminum),0.6/0.9kV,XLPE,5,6.0,None,IEEE 1202,Aluminum,75.83
CAB_0087,7-core 6.0mm² PVC Insulated Aluminum Armored Cable (Copper),0.6/1kV,PVC,7,6.0,Aluminum,IS 7098,Copper,76.71
CAB_0088,2-core 1.5mm² PVC Insulated None Armored Cable (Aluminum),0.6/1kV,PVC,2,1.5,None,IS 7098,Aluminum,56.55
CAB_0089,2-core 1.0mm² PVC Insulated Steel Armored Cable (Aluminum),0.6/1kV,PVC,2,1.0,Steel,IEC 60502,Aluminum,11.73
CAB_0090,5-core 0.5mm² PVC Insulated None Armored Cable (Copper),0.6/1kV,PVC,5,0.5,None,IS 1554,Copper,9.17
CAB_0091,1-core 0.5mm² PVC Insulated None Armored Cable (Aluminum),0.6/1kV,PVC,1,0.5,None,IS 7098,Aluminum,23.78
CAB_0092,3-core 1.0mm² PVC Insulated Steel Armored Cable (Aluminum),0.6/1kV,PVC,3,1.0,Steel,IS 7098,Aluminum,18.75
CAB_0093,3-core 16.0mm² EPR Insulated Steel Armored Cable (Copper),6.6kV,EPR,3,16.0,Steel,IEC 60502,Copper,944.04
CAB_0094,4-core 4.0mm² XLPE Insulated Copper Armored Cable (Copper),3.3kV,XLPE,4,4.0,Copper,BS 5467,Copper,73.3
CAB_0095,4-core 1.0mm² PVC Insulated None Armored Cable (Aluminum),3.3kV,PVC,4,1.0,None,IEC 60502,Aluminum,36.11
CAB_0096,1-core 1.5mm² PVC Insulated None Armored Cable (Aluminum),1.1/2kV,PVC,1,1.5,None,IEC 60502,Aluminum,28.86
CAB_0097,3-core 2.5mm² EPR Insulated Steel Armored Cable (Aluminum),6.6kV,EPR,3,2.5,Steel,IS 1554,Aluminum,17.0
CAB_0098,2-core 1.0mm² XLPE Insulated None Armored Cable (Aluminum),3.3kV,XLPE,2,1.0,None,IS 7098,Aluminum,22.62
CAB_0099,5-core 2.5mm² XLPE Insulated Aluminum Armored Cable (Copper),6.6kV,XLPE,5,2.5,Aluminum,IEEE 1202,Copper,113.59
