sku,product_name,voltage,insulation,core_count,cross_section_mm2,armor,standard,conductor_material,base_price
CAB_0100,7-core 2.5mm² PVC Insulated Copper Armored Cable (Copper),0.6/0.9kV,PVC,7,2.5,Copper,BS 5467,Copper,81.27
CAB_0101,5-core 1.5mm² XLPE Insulated None Armored Cable (Aluminum),0.6/0.9kV,XLPE,5,1.5,None,IS 7098,Aluminum,62.51
CAB_0102,3-core 1.0mm² PVC Insulated Aluminum Armored Cable (Aluminum),3.3kV,PVC,3,1.0,Aluminum,BS 5467,Aluminum,7.12
CAB_0103,5-core 16.0mm² XLPE Insulated Steel Armored Cable (Aluminum),6.6kV,XLPE,5,16.0,Steel,IS 7098,Aluminum,301.71
CAB_0104,1-core 2.5mm² PVC Insulated Steel Armored Cable (Copper),1.1/2kV,PVC,1,2.5,Steel,IEEE 1202,Copper,136.88
CAB_0105,3-core 6.0mm² EPR Insulated Steel Armored Cable (Copper),3.3kV,EPR,3,6.0,Steel,IEC 60502,Copper,435.73
CAB_0106,7-core 16.0mm² XLPE Insulated Copper Armored Cable (Aluminum),3.3kV,XLPE,7,16.0,Copper,BS 5467,Aluminum,548.19
CAB_0107,2-core 16.0mm² EPR Insulated Steel Armored Cable (Copper),0.6/0.9kV,EPR,2,16.0,Steel,BS 5467,Copper,1028.5
CAB_0108,1-core 1.5mm² EPR Insulated Copper Armored Cable (Copper),6.6kV,EPR,1,1.5,Copper,IS 7098,Copper,89.64
CAB_0109,3-core 16.0mm² PVC Insulated Copper Armored Cable (Copper),6.6kV,PVC,3,16.0,Copper,IS 1554,Copper,1112.14
CAB_0110,3-core 2.5mm² PVC Insulated Copper Armored Cable (Copper),6.6kV,PVC,3,2.5,Copper,IEC 60502,Copper,165.59
CAB_0111,5-core 6.0mm² PVC Insulated None Armored Cable (Aluminum),1.1/2kV,PVC,5,6.0,None,IEC 60502,Aluminum,25.76
CAB_0112,7-core 2.5mm² EPR Insulated Copper Armored Cable (Copper),0.6/0.9kV,EPR,7,2.5,Copper,BS 5467,Copper,137.9
CAB_0113,7-core 4.0mm² XLPE Insulated Copper Armored Cable (Aluminum),6.6kV,XLPE,7,4.0,Copper,IEC 60502,Aluminum,166.92
CAB_0114,2-core 1.0mm² PVC Insulated Aluminum Armored Cable (Aluminum),0.6/0.9kV,PVC,2,1.0,Aluminum,IS 7098,Aluminum,19.54
CAB_0115,1-core 2.5mm² EPR Insulated Steel Armored Cable (Copper),1.1/2kV,EPR,1,2.5,Steel,BS 5467,Copper,35.43
CAB_0116,2-core 16.0mm² EPR Insulated Copper Armored Cable (Aluminum),0.6/1kV,EPR,2,16.0,Copper,BS 5467,Aluminum,735.62
CAB_0117,5-core 1.0mm² EPR Insulated Aluminum Armored Cable (Aluminum),0.6/1kV,EPR,5,1.0,Aluminum,IEEE 1202,Aluminum,49.46
CAB_0118,7-core 4.0mm² XLPE Insulated None Armored Cable (Aluminum),0.6/0.9kV,XLPE,7,4.0,None,IEC 60502,Aluminum,124.99
CAB_0119,2-core 1.5mm² XLPE Insulated Aluminum Armored Cable (Aluminum),6.6kV,XLPE,2,1.5,Aluminum,IEEE 1202,Aluminum,73.53
CAB_0120,1-core 1.0mm² XLPE Insulated None Armored Cable (Copper),0.6/1kV,XLPE,1,1.0,None,IS 1554,Copper,37.19
CAB_0121,3-core 4.0mm² PVC Insulated None Armored Cable (Copper),1.1/2kV,PVC,3,4.0,None,IEC 60502,Copper,54.28
CAB_0122,3-core 0.5mm² XLPE Insulated None Armored Cable (Copper),6.6kV,XLPE,3,0.5,None,IEEE 1202,Copper,7.01
CAB_0123,1-core 1.5mm² PVC Insulated Aluminum Armored Cable (Copper),0.6/0.9kV,PVC,1,1.5,Aluminum,IEC 60502,Copper,72.77
CAB_0124,7-core 4.0mm² PVC Insulated Aluminum Armored Cable (Copper),1.1/2kV,PVC,7,4.0,Aluminum,IS 1554,Copper,112.61
CAB_0125,3-core 1.5mm² PVC Insulated Aluminum Armored Cable (Aluminum),1.1/2kV,PVC,3,1.5,Aluminum,BS 5467,Aluminum,41.3
CAB_0126,1-core 10.0mm² EPR Insulated Copper Armored Cable (Copper),6.6kV,EPR,1,10.0,Copper,BS 5467,Copper,129.82
CAB_0127,3-core 4.0mm² XLPE Insulated Aluminum Armored Cable (Copper),3.3kV,XLPE,3,4.0,Aluminum,IEC 60502,Copper,162.74
CAB_0128,1-core 4.0mm² EPR Insulated Steel Armored Cable (Aluminum),3.3kV,EPR,1,4.0,Steel,IEEE 1202,Aluminum,190.42
CAB_0129,4-core 1.0mm² EPR Insulated Steel Armored Cable (Copper),3.3kV,EPR,4,1.0,Steel,BS 5467,Copper,18.69
CAB_0130,2-core 1.5mm² XLPE Insulated Steel Armored Cable (Aluminum),0.6/1kV,XLPE,2,1.5,Steel,IEC 60502,Aluminum,9.74
CAB_0131,3-core 1.5mm² XLPE Insulated Steel Armored Cable (Aluminum),0.6/0.9kV,XLPE,3,1.5,Steel,IEC 60502,Aluminum,20.97
CAB_0132,2-core 1.0mm² EPR Insulated Aluminum Armored Cable (Copper),0.6/1kV,EPR,2,1.0,Aluminum,BS 5467,Copper,46.7
CAB_0133,3-core 16.0mm² XLPE Insulated None Armored Cable (Copper),1.1/2kV,XLPE,3,16.0,None,IS 7098,Copper,490.56
CAB_0134,7-core 16.0mm² PVC Insulated Aluminum Armored Cable (Copper),0.6/0.9kV,PVC,7,16.0,Aluminum,IS 1554,Copper,984.91
CAB_0135,4-core 1.0mm² XLPE Insulated Copper Armored Cable (Copper),6.6kV,XLPE,4,1.0,Copper,IEC 60502,Copper,65.42
CAB_0136,5-core 1.0mm² XLPE Insulated None Armored Cable (Aluminum),6.6kV,XLPE,5,1.0,None,IS 7098,Aluminum,48.79
CAB_0137,2-core 4.0mm² EPR Insulated None Armored Cable (Aluminum),0.6/0.9kV,EPR,2,4.0,None,IEEE 1202,Aluminum,94.82
CAB_0138,5-core 1.0mm² XLPE Insulated None Armored Cable (Copper),1.1/2kV,XLPE,5,1.0,None,IEC 60502,Copper,51.3
CAB_0139,3-core 16.0mm² PVC Insulated Aluminum Armored Cable (Aluminum),3.3kV,PVC,3,16.0,Aluminum,IS 1554,Aluminum,96.98
CAB_0140,3-core 6.0mm² XLPE Insulated Copper Armored Cable (Aluminum),0.6/1kV,XLPE,3,6.0,Copper,IEC 60502,Aluminum,293.85
CAB_0141,4-core 16.0mm² PVC Insulated Aluminum Armored Cable (Aluminum),6.6kV,PVC,4,16.0,Aluminum,BS 5467,Aluminum,362.51
CAB_0142,1-core 1.5mm² PVC Insulated Copper Armored Cable (Copper),0.6/1kV,PVC,1,1.5,Copper,IS 1554,Copper,43.02
CAB_0143,5-core 2.5mm² XLPE Insulated Aluminum Armored Cable (Copper),0.6/0.9kV,XLPE,5,2.5,Aluminum,IEEE 1202,Copper,50.61
CAB_0144,2-core 10.0mm² XLPE Insulated None Armored Cable (Aluminum),0.6/0.9kV,XLPE,2,10.0,None,IEC 60502,Aluminum,404.67
CAB_0145,3-core 0.5mm² XLPE Insulated None Armored Cable (Aluminum),3.3kV,XLPE,3,0.5,None,BS 5467,Aluminum,5.52
CAB_0146,5-core 1.0mm² XLPE Insulated Aluminum Armored Cable (Copper),3.3kV,XLPE,5,1.0,Aluminum,IS 7098,Copper,73.18
CAB_0147,5-core 1.0mm² EPR Insulated None Armored Cable (Copper),1.1/2kV,EPR,5,1.0,None,IEEE 1202,Copper,47.59
CAB_0148,1-core 10.0mm² PVC Insulated Copper Armored Cable (Aluminum),1.1/2kV,PVC,1,10.0,Copper,IS 1554,Aluminum,141.31
CAB_0149,5-core 1.5mm² PVC Insulated Copper Armored Cable (Aluminum),0.6/0.9kV,PVC,5,1.5,Copper,IEC 60502,Aluminum,12.43
CAB_0150,3-core 10.0mm² XLPE Insulated Copper Armored Cable (Copper),0.6/1kV,XLPE,3,10.0,Copper,IS 7098,Copper,341.42
CAB_0151,2-core 1.5mm² PVC Insulated Copper Armored Cable (Aluminum),3.3kV,PVC,2,1.5,Copper,IS 1554,Aluminum,63.69
CAB_0152,4-core 0.5mm² XLPE Insulated Steel Armored Cable (Aluminum),6.6kV,XLPE,4,0.5,Steel,IEEE 1202,Aluminum,11.24
CAB_0153,1-core 16.0mm² EPR Insulated Steel Armored Cable (Aluminum),0.6/0.9kV,EPR,1,16.0,Steel,IS 1554,Aluminum,414.43
CAB_0154,1-core 0.5mm² PVC Insulated None Armored Cable (Aluminum),6.6kV,PVC,1,0.5,None,IS 1554,Aluminum,3.75
CAB_0155,1-core 10.0mm² PVC Insulated None Armored Cable (Aluminum),3.3kV,PVC,1,10.0,None,BS 5467,Aluminum,377.2
CAB_0156,2-core 6.0mm² EPR Insulated Steel Armored Cable (Aluminum),3.3kV,EPR,2,6.0,Steel,IS 7098,Aluminum,255.62
CAB_0157,7-core 6.0mm² XLPE Insulated Aluminum Armored Cable (Aluminum),0.6/1kV,XLPE,7,6.0,Aluminum,IS 7098,Aluminum,249.37
CAB_0158,1-core 1.5mm² EPR Insulated Copper Armored Cable (Copper),0.6/0.9kV,EPR,1,1.5,Copper,BS 5467,Copper,16.33
CAB_0159,7-core 6.0mm² PVC Insulated Aluminum Armored Cable (Aluminum),3.3kV,PVC,7,6.0,Aluminum,BS 5467,Aluminum,265.02
CAB_0160,1-core 1.0mm² XLPE Insulated Steel Armored Cable (Copper),0.6/0.9kV,XLPE,1,1.0,Steel,IEC 60502,Copper,32.58
CAB_0161,1-core 1.0mm² EPR Insulated Aluminum Armored Cable (Copper),0.6/1kV,EPR,1,1.0,Aluminum,BS 5467,Copper,14.67
CAB_0162,4-core 16.0mm² XLPE Insulated Copper Armored Cable (Aluminum),0.6/1kV,XLPE,4,16.0,Copper,IS 1554,Aluminum,620.26
CAB_0163,5-core 1.0mm² XLPE Insulated Copper Armored Cable (Copper),1.1/2kV,XLPE,5,1.0,Copper,IEEE 1202,Copper,70.05
CAB_0164,5-core 2.5mm² PVC Insulated None Armored Cable (Copper),0.6/0.9kV,PVC,5,2.5,None,IS 1554,Copper,83.99
CAB_0165,4-core 2.5mm² EPR Insulated Steel Armored Cable (Copper),0.6/1kV,EPR,4,2.5,Steel,IEEE 1202,Copper,89.0
CAB_0166,4-core 1.5mm² XLPE Insulated Steel Armored Cable (Copper),6.6kV,XLPE,4,1.5,Steel,IEC 60502,Copper,13.41
CAB_0167,1-core 4.0mm² XLPE Insulated Steel Armored Cable (Copper),6.6kV,XLPE,1,4.0,Steel,IEEE 1202,Copper,236.65
CAB_0168,4-core 2.5mm² EPR Insulated Copper Armored Cable (Aluminum),0.6/1kV,EPR,4,2.5,Copper,IEC 60502,Aluminum,117.42
CAB_0169,2-core 0.5mm² XLPE Insulated Copper Armored Cable (Copper),3.3kV,XLPE,2,0.5,Copper,IEC 60502,Copper,26.37
CAB_0170,4-core 1.0mm² PVC Insulated Aluminum Armored Cable (Copper),3.3kV,PVC,4,1.0,Aluminum,IEC 60502,Copper,40.85
CAB_0171,4-core 6.0mm² PVC Insulated Copper Armored Cable (Copper),1.1/2kV,PVC,4,6.0,Copper,IEC 60502,Copper,57.64
CAB_0172,3-core 4.0mm² PVC Insulated None Armored Cable (Aluminum),3.3kV,PVC,3,4.0,None,IS 7098,Aluminum,134.32
CAB_0173,7-core 2.5mm² XLPE Insulated Aluminum Armored Cable (Copper),1.1/2kV,XLPE,7,2.5,Aluminum,IS 1554,Copper,56.5
CAB_0174,4-core 2.5mm² XLPE Insulated Copper Armored Cable (Aluminum),6.6kV,XLPE,4,2.5,Copper,IS 1554,Aluminum,61.31
CAB_0175,1-core 10.0mm² XLPE Insulated Steel Armored Cable (Aluminum),3.3kV,XLPE,1,10.0,Steel,BS 5467,Aluminum,42.45
CAB_0176,4-core 1.0mm² XLPE Insulated Copper Armored Cable (Copper),1.1/2kV,XLPE,4,1.0,Copper,IEEE 1202,Copper,25.4
CAB_0177,7-core 2.5mm² XLPE Insulated Aluminum Armored Cable (Copper),6.6kV,XLPE,7,2.5,Aluminum,IS 1554,Copper,22.82
CAB_0178,4-core 1.0mm² PVC Insulated Steel Armored Cable (Copper),0.6/0.9kV,PVC,4,1.0,Steel,IS 7098,Copper,9.35
CAB_0179,4-core 10.0mm² EPR Insulated Steel Armored Cable (Copper),3.3kV,EPR,4,10.0,Steel,BS 5467,Copper,248.18
CAB_0180,4-core 6.0mm² XLPE Insulated None Armored Cable (Aluminum),6.6kV,XLPE,4,6.0,None,IS 7098,Aluminum,254.17
CAB_0181,1-core 4.0mm² EPR Insulated Copper Armored Cable (Aluminum),0.6/0.9kV,EPR,1,4.0,Copper,IEC 60502,Aluminum,78.22
CAB_0182,3-core 16.0mm² EPR Insulated Copper Armored Cable (Copper),6.6kV,EPR,3,16.0,Copper,BS 5467,Copper,562.03
CAB_0183,4-core 4.0mm² EPR Insulated Aluminum Armored Cable (Copper),0.6/0.9kV,EPR,4,4.0,Aluminum,IS 7098,Copper,247.25
CAB_0184,1-core 10.0mm² EPR Insulated Steel Armored Cable (Copper),1.1/2kV,EPR,1,10.0,Steel,BS 5467,Copper,116.28
CAB_0185,7-core 6.0mm² PVC Insulated Aluminum Armored Cable (Copper),1.1/2kV,PVC,7,6.0,Aluminum,IEC 60502,Copper,406.39
CAB_0186,2-core 16.0mm² XLPE Insulated Aluminum Armored Cable (Aluminum),0.6/1kV,XLPE,2,16.0,Aluminum,IEEE 1202,Aluminum,286.8
CAB_0187,7-core 4.0mm² EPR Insulated None Armored Cable (Copper),0.6/0.9kV,EPR,7,4.0,None,BS 5467,Copper,51.27
CAB_0188,1-core 2.5mm² PVC Insulated Aluminum Armored Cable (Copper),0.6/1kV,PVC,1,2.5,Aluminum,IEC 60502,Copper,71.61
CAB_0189,5-core 2.5mm² XLPE Insulated Aluminum Armored Cable (Aluminum),3.3kV,XLPE,5,2.5,Aluminum,IEC 60502,Aluminum,119.28
CAB_0190,1-core 4.0mm² PVC Insulated Aluminum Armored Cable (Copper),1.1/2kV,PVC,1,4.0,Aluminum,IS 7098,Copper,145.01
CAB_0191,2-core 6.0mm² PVC Insulated Aluminum Armored Cable (Aluminum),0.6/1kV,PVC,2,6.0,Aluminum,IS 7098,Aluminum,139.89
CAB_0192,1-core 4.0mm² PVC Insulated Aluminum Armored Cable (Copper),6.6kV,PVC,1,4.0,Aluminum,IS 1554,Copper,58.89
CAB_0193,7-core 16.0mm² EPR Insulated None Armored Cable (Copper),3.3kV,EPR,7,16.0,None,IS 7098,Copper,300.5
CAB_0194,1-core 16.0mm² XLPE Insulated Aluminum Armored Cable (Copper),6.6kV,XLPE,1,16.0,Aluminum,IEC 60502,Copper,727.44
CAB_0195,7-core 2.5mm² EPR Insulated Copper Armored Cable (Copper),0.6/0.9kV,EPR,7,2.5,Copper,BS 5467,Copper,115.5
CAB_0196,5-core 4.0mm² EPR Insulated Steel Armored Cable (Copper),6.6kV,EPR,5,4.0,Steel,IEEE 1202,Copper,36.11
CAB_0197,1-core 1.5mm² PVC Insulated None Armored Cable (Aluminum),1.1/2kV,PVC,1,1.5,None,IEC 60502,Aluminum,33.65
CAB_0198,5-core 2.5mm² XLPE Insulated None Armored Cable (Aluminum),1.1/2kV,XLPE,5,2.5,None,IEC 60502,Aluminum,86.03
CAB_0199,7-core 0.5mm² XLPE Insulated Steel Armored Cable (Aluminum),0.6/0.9kV,XLPE,7,0.5,Steel,IEEE 1202,Aluminum,18.05
CAB_0200,4-core 0.5mm² PVC Insulated Copper Armored Cable (Aluminum),1.1/2kV,PVC,4,0.5,Copper,IS 7098,Aluminum,11.35